Faculdade;Curso;Turma;Disciplina;Professor
FACHS;FISIOTERAPIA;FISIO-VESTM01;MORFOFISIOLOGIA HUMANA (SISTEMAS);-
FACHS;FISIOTERAPIA;FISIO-VESTM01;PRODUÇÃO DE TEXTOS ACADÊMICOS;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;PRODUÇÃO DE TEXTOS ACADÊMICOS;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;SAÚDE COLETIVA I;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;SAÚDE COLETIVA I;-
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA1;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;LUIZ AUGUSTO DE PAULA SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA11;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;GLAUCIO ALBERTO FARIA DE SOUZA
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA12;SAÚDE COLETIVA I;MARIA CECILIA BONINI TRENCHE
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA12;SAÚDE COLETIVA I;MARIA CECILIA BONINI TRENCHE
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA12;SAÚDE COLETIVA I;MARIA CECILIA BONINI TRENCHE
FACHS;FISIOTERAPIA;FISIO/FONO-GERMA12;SAÚDE COLETIVA I;MARIA CECILIA BONINI TRENCHE
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;PATOLOGIA GERAL I;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOLOGIA DO EXERCÍCIO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOTERAPIA EM SAÚDE E CIDADANIA II;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOTERAPIA EM SAÚDE E CIDADANIA II;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOTERAPIA EM SAÚDE E CIDADANIA II;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;FISIOTERAPIA EM SAÚDE E CIDADANIA II;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;ÉTICA NA REABILITAÇÃO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;ÉTICA NA REABILITAÇÃO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;ÉTICA NA REABILITAÇÃO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;ÉTICA NA REABILITAÇÃO;WAGNER ALVES SILVA
FACHS;FISIOTERAPIA;FISIO-MA3;ESTUDOS ORIENTADOS NO CAMPO DA SAÚDE;-
FACHS;FISIOTERAPIA;FISIO-MA3;ESTUDOS ORIENTADOS NO CAMPO DA SAÚDE;-
FACHS;FISIOTERAPIA;FISIO-MA3;RECURSOS TERAPÊUTICOS MANUAIS I;FABIO JORGE RENOVATO FRANCA
